condition_index,condition_id,seed,requested_overlap,achieved_overlap,boundary_kappa,boundary_bracket_width,boundary_iterations,boundary_margin,left_endpoint_margin,right_endpoint_margin,left_endpoint_speed,right_endpoint_speed,expected_G0
0,rho-0.500_seed000,0,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.6100903764627376e-14,3.6100903764627376e-14,180.0
1,rho-0.500_seed001,1,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.611895239357377e-14,3.611895239357377e-14,180.0
2,rho-0.500_seed002,2,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.608886633065632e-14,3.608886633065632e-14,180.0
3,rho-0.500_seed003,3,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.611895239357377e-14,3.611895239357377e-14,180.0
4,rho-0.500_seed004,4,-0.5,-0.5,0.5,0.0,1,0.0,2.1999646972090714,-2.1999646972090714,3.608886633065632e-14,3.608886633065632e-14,180.0
5,rho-0.500_seed005,5,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.608886633065632e-14,3.608886633065632e-14,180.0
6,rho-0.500_seed006,6,-0.5,-0.5,0.5,0.0,1,0.0,2.1999646972090714,-2.1999646972090714,3.608886633065632e-14,3.608886633065632e-14,180.0
7,rho-0.500_seed007,7,-0.5,-0.5,0.5,0.0,1,0.0,2.199964697209071,-2.199964697209071,3.611895239357377e-14,3.611895239357377e-14,180.0
8,rho+0.000_seed000,0,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,120.0
9,rho+0.000_seed001,1,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,120.0
10,rho+0.000_seed002,2,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,120.0
11,rho+0.000_seed003,3,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,120.0
12,rho+0.000_seed004,4,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,120.0
13,rho+0.000_seed005,5,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,120.0
14,rho+0.000_seed006,6,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,120.0
15,rho+0.000_seed007,7,0.0,0.0,0.5,0.0,1,0.0,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,120.0
16,rho+0.500_seed000,0,0.5,0.5,0.5,0.0,1,0.0,0.2198955818660823,-0.2198955818660823,3.608886633065632e-14,3.608886633065632e-14,60.0
17,rho+0.500_seed001,1,0.5,0.5,0.5,0.0,1,0.0,0.2198955818660823,-0.2198955818660823,3.615029205447513e-14,3.615029205447513e-14,60.0
18,rho+0.500_seed002,2,0.5,0.5,0.5,0.0,1,0.0,0.21989558186608255,-0.21989558186608255,3.611895239357377e-14,3.611895239357377e-14,60.0
19,rho+0.500_seed003,3,0.5,0.5,0.5,0.0,1,0.0,0.2198955818660823,-0.2198955818660823,3.608886633065632e-14,3.608886633065632e-14,60.0
20,rho+0.500_seed004,4,0.5,0.5,0.5,0.0,1,0.0,0.2198955818660823,-0.2198955818660823,3.6100903764627376e-14,3.6100903764627376e-14,60.0
21,rho+0.500_seed005,5,0.5,0.5,0.5,0.0,1,0.0,0.2198955818660823,-0.2198955818660823,3.615029205447513e-14,3.615029205447513e-14,60.0
22,rho+0.500_seed006,6,0.5,0.5,0.5,0.0,1,0.0,0.21989558186608207,-0.21989558186608207,3.6100903764627376e-14,3.6100903764627376e-14,60.0
23,rho+0.500_seed007,7,0.5,0.5,0.5,0.0,1,0.0,0.21989558186608207,-0.21989558186608207,3.608886633065632e-14,3.608886633065632e-14,60.0
24,rho+0.700_seed000,0,0.7,0.7,0.5,0.0,1,0.0,0.033765743899854546,-0.033765743899854546,2.0430478623693832e-07,2.0430478623693832e-07,36.0
25,rho+0.700_seed001,1,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.0430478620455678e-07,2.0430478620455678e-07,36.0
26,rho+0.700_seed002,2,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.0430478618605308e-07,2.0430478618605308e-07,36.0
27,rho+0.700_seed003,3,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.0430478623693832e-07,2.0430478623693832e-07,36.0
28,rho+0.700_seed004,4,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.0430478623693835e-07,2.0430478623693835e-07,36.0
29,rho+0.700_seed005,5,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.0430478623693832e-07,2.0430478623693832e-07,36.0
30,rho+0.700_seed006,6,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.043047862369383e-07,2.043047862369383e-07,36.0
31,rho+0.700_seed007,7,0.7,0.7,0.5,0.0,1,0.0,0.03376574389985478,-0.03376574389985478,2.043047862369383e-07,2.043047862369383e-07,36.0
