condition_index,condition_id,seed,delta,requested_overlap,achieved_overlap,topology_status,sign_transitions,left_endpoint_margin,right_endpoint_margin,left_endpoint_speed,right_endpoint_speed,boundary_kappa,boundary_bracket_width,boundary_iterations,boundary_margin
0,delta-0.30_seed000,0,-0.3,0.0,0.0,valid,1,0.6599061105548834,-1.2665659330788015,2.149937642474629e-14,4.299875284949258e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548771
1,delta-0.30_seed001,1,-0.3,0.0,0.0,valid,1,0.6599061105548834,-1.2665659330788015,2.149937642474629e-14,4.2518498041836775e-14,0.44274756786762737,5.820766091346741e-11,34,0.659906110554877
2,delta-0.30_seed002,2,-0.3,0.0,0.0,valid,1,0.6599061105548832,-1.2665659330788013,2.149937642474629e-14,4.294253105683534e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548772
3,delta-0.30_seed003,3,-0.3,0.0,0.0,valid,1,0.6599061105548834,-1.2665659330788015,2.149937642474629e-14,4.2518498041836775e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548772
4,delta-0.30_seed004,4,-0.3,0.0,0.0,valid,1,0.6599061105548832,-1.266565933078801,2.149937642474629e-14,4.299875284949258e-14,0.44274756786762737,5.820766091346741e-11,34,0.659906110554877
5,delta-0.30_seed005,5,-0.3,0.0,0.0,valid,1,0.6599061105548834,-1.2665659330788013,2.1457196269812537e-14,4.2688616689547504e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548772
6,delta-0.30_seed006,6,-0.3,0.0,0.0,valid,1,0.6599061105548835,-1.266565933078801,2.149937642474629e-14,4.299875284949258e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548771
7,delta-0.30_seed007,7,-0.3,0.0,0.0,valid,1,0.6599061105548832,-1.2665659330788013,2.149937642474629e-14,4.217620226462792e-14,0.44274756786762737,5.820766091346741e-11,34,0.6599061105548771
8,delta-0.15_seed000,0,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529835,2.149937642474629e-14,4.299875284949258e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832304
9,delta-0.15_seed001,1,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529835,2.149937642474629e-14,4.2829866068881306e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832307
10,delta-0.15_seed002,2,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529835,2.1429030041047993e-14,4.2147552134668106e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832304
11,delta-0.15_seed003,3,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529835,2.144311778008733e-14,4.2603642277396844e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832304
12,delta-0.15_seed004,4,-0.15,0.0,0.0,valid,1,0.8142487488832362,-1.1163713930529835,2.149937642474629e-14,4.2147552134668106e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832305
13,delta-0.15_seed005,5,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529837,2.1202353228148523e-14,4.0427975314190345e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832305
14,delta-0.15_seed006,6,-0.15,0.0,0.0,valid,1,0.8142487488832363,-1.1163713930529835,2.149937642474629e-14,4.257527978508369e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832304
15,delta-0.15_seed007,7,-0.15,0.0,0.0,valid,1,0.8142487488832362,-1.1163713930529835,2.1429030041047993e-14,4.2147552134668106e-14,0.4733209049736615,5.820766091346741e-11,34,0.8142487488832304
16,delta+0.00_seed000,0,0.0,0.0,0.0,valid,1,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
17,delta+0.00_seed001,1,0.0,0.0,0.0,valid,1,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
18,delta+0.00_seed002,2,0.0,0.0,0.0,valid,1,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
19,delta+0.00_seed003,3,0.0,0.0,0.0,valid,1,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
20,delta+0.00_seed004,4,0.0,0.0,0.0,valid,1,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
21,delta+0.00_seed005,5,0.0,0.0,0.0,valid,1,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
22,delta+0.00_seed006,6,0.0,0.0,0.0,valid,1,0.9658144852588704,-0.9658144852588704,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
23,delta+0.00_seed007,7,0.0,0.0,0.0,valid,1,0.9658144852588705,-0.9658144852588705,2.149937642474629e-14,2.149937642474629e-14,0.5,0.0,1,0.0
24,delta+0.15_seed000,0,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832363,4.299875284949258e-14,2.149937642474629e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832304
25,delta+0.15_seed001,1,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832363,4.2829866068881306e-14,2.149937642474629e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832307
26,delta+0.15_seed002,2,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832363,4.2147552134668106e-14,2.1429030041047993e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832304
27,delta+0.15_seed003,3,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832363,4.2603642277396844e-14,2.144311778008733e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832304
28,delta+0.15_seed004,4,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832362,4.2147552134668106e-14,2.149937642474629e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832305
29,delta+0.15_seed005,5,0.15,0.0,0.0,valid,1,1.1163713930529837,-0.8142487488832363,4.0427975314190345e-14,2.1202353228148523e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832305
30,delta+0.15_seed006,6,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832363,4.257527978508369e-14,2.149937642474629e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832304
31,delta+0.15_seed007,7,0.15,0.0,0.0,valid,1,1.1163713930529835,-0.8142487488832362,4.2147552134668106e-14,2.1429030041047993e-14,0.5266790950263385,5.820766091346741e-11,34,-0.8142487488832304
32,delta+0.30_seed000,0,0.3,0.0,0.0,valid,1,1.2665659330788015,-0.6599061105548834,4.299875284949258e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548771
33,delta+0.30_seed001,1,0.3,0.0,0.0,valid,1,1.2665659330788015,-0.6599061105548834,4.2518498041836775e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.659906110554877
34,delta+0.30_seed002,2,0.3,0.0,0.0,valid,1,1.2665659330788013,-0.6599061105548832,4.294253105683534e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548772
35,delta+0.30_seed003,3,0.3,0.0,0.0,valid,1,1.2665659330788015,-0.6599061105548834,4.2518498041836775e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548772
36,delta+0.30_seed004,4,0.3,0.0,0.0,valid,1,1.266565933078801,-0.6599061105548832,4.299875284949258e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.659906110554877
37,delta+0.30_seed005,5,0.3,0.0,0.0,valid,1,1.2665659330788013,-0.6599061105548834,4.2688616689547504e-14,2.1457196269812537e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548772
38,delta+0.30_seed006,6,0.3,0.0,0.0,valid,1,1.266565933078801,-0.6599061105548835,4.299875284949258e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548771
39,delta+0.30_seed007,7,0.3,0.0,0.0,valid,1,1.2665659330788013,-0.6599061105548832,4.217620226462792e-14,2.149937642474629e-14,0.5572524321323726,5.820766091346741e-11,34,-0.6599061105548771
