condition_index,condition_id,seed,delta,estimator,first_sustained_time,median_error_after_start,p90_error_after_start,final_error,coverage
0,delta-0.30_seed000,0,-0.3,pullback_G,0.96,0.001433922371401608,0.0019189336088799025,0.0011151533224437182,0.9966777408637874
0,delta-0.30_seed000,0,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
0,delta-0.30_seed000,0,-0.3,energy_ridge,0.0,0.005246139405763017,0.005247506407173086,0.005247538745570157,1.0
1,delta-0.30_seed001,1,-0.3,pullback_G,0.96,0.001433922371401608,0.001918933608879847,0.0011151533224437182,0.9966777408637874
1,delta-0.30_seed001,1,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
1,delta-0.30_seed001,1,-0.3,energy_ridge,0.0,0.005246139405763017,0.005247506407173086,0.005247538745570157,1.0
2,delta-0.30_seed002,2,-0.3,pullback_G,0.96,0.001433922371401608,0.0019189336088799025,0.0011151533224437182,0.9966777408637874
2,delta-0.30_seed002,2,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
2,delta-0.30_seed002,2,-0.3,energy_ridge,0.0,0.005246139405763017,0.005247506407173086,0.005247538745570157,1.0
3,delta-0.30_seed003,3,-0.3,pullback_G,0.96,0.001433922371401608,0.0019189336088799025,0.0011151533224437182,0.9966777408637874
3,delta-0.30_seed003,3,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
3,delta-0.30_seed003,3,-0.3,energy_ridge,0.0,0.005246139405763017,0.005247506407173086,0.005247538745570157,1.0
4,delta-0.30_seed004,4,-0.3,pullback_G,0.96,0.001433922371401608,0.001918933608879847,0.0011151533224437182,0.9966777408637874
4,delta-0.30_seed004,4,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
4,delta-0.30_seed004,4,-0.3,energy_ridge,0.0,0.005246139405763017,0.005247506407173086,0.005247538745570157,1.0
5,delta-0.30_seed005,5,-0.3,pullback_G,0.96,0.001433922371401608,0.001918933608879847,0.0011151533224437182,0.9966777408637874
5,delta-0.30_seed005,5,-0.3,overlap_zero,0.74,0.0010403176610204734,0.0010439005378632404,0.0010394155420783147,1.0
