condition_index,condition_id,seed,delta,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
0,delta-0.30_seed000,0,-0.3,-0.3,0.3911711384280352,0.9725133609610913,-0.2328470801881835,1
0,delta-0.30_seed000,0,-0.3,-0.25,0.40314254620170686,0.9731628606833933,-0.23011746258490315,1
0,delta-0.30_seed000,0,-0.3,-0.2,0.41481748498335946,0.9760683510429556,-0.2174639604446803,1
0,delta-0.30_seed000,0,-0.3,-0.15,0.42542212941043545,0.9816574712390654,-0.1906531121186423,1
0,delta-0.30_seed000,0,-0.3,-0.1,0.43423903656366747,0.9889423597363763,-0.14830040161458707,1
0,delta-0.30_seed000,0,-0.3,-0.05000000000000002,0.44041798838588875,0.9963997808577734,-0.08477898741186672,1
0,delta-0.30_seed000,0,-0.3,0.0,0.4427475678821793,0.9999990872134442,0.001351137401771676,1
0,delta-0.30_seed000,0,-0.3,0.04999999999999999,0.44028287452238146,0.9955518927895323,0.09421480118951435,1
0,delta-0.30_seed000,0,-0.3,0.09999999999999998,0.4332839927665191,0.9850616183746418,0.17220222996561801,1
0,delta-0.30_seed000,0,-0.3,0.14999999999999997,0.4228015082044294,0.9740940949501893,0.22614308342987527,1
0,delta-0.30_seed000,0,-0.3,0.19999999999999996,0.4100682598509593,0.9663904030034335,0.25707895476460446,1
0,delta-0.30_seed000,0,-0.3,0.24999999999999994,0.396199530994636,0.961450222636831,0.2749790344582441,1
0,delta-0.30_seed000,0,-0.3,0.3,0.38146781564864796,0.95923123490635,0.2826224300724186,1
1,delta-0.30_seed001,1,-0.3,-0.3,0.377723464553128,0.9596972101286753,-0.28103605617649374,1
1,delta-0.30_seed001,1,-0.3,-0.25,0.39236537729448173,0.9608202201150008,-0.2771723373970814,1
1,delta-0.30_seed001,1,-0.3,-0.2,0.4065709358692402,0.9643354035507141,-0.26468326252085006,1
1,delta-0.30_seed001,1,-0.3,-0.15,0.4198125975817675,0.9707778250528689,-0.23998002913913768,1
1,delta-0.30_seed001,1,-0.3,-0.1,0.43129132223839406,0.9809777983125516,-0.19411996089495412,1
1,delta-0.30_seed001,1,-0.3,-0.05000000000000002,0.4396010128984926,0.9935016185624648,-0.11381798589749717,1
1,delta-0.30_seed001,1,-0.3,0.0,0.4427475678821793,0.9999999722246106,0.00023569212571793492,1
1,delta-0.30_seed001,1,-0.3,0.04999999999999999,0.4395774436852662,0.9933217102857763,0.11537755360095103,1
1,delta-0.30_seed001,1,-0.3,0.09999999999999998,0.4311322420107899,0.9802873356667327,0.1975771736092469,1
1,delta-0.30_seed001,1,-0.3,0.14999999999999997,0.41942241704964545,0.9699000109274537,0.2435035293438784,1
1,delta-0.30_seed001,1,-0.3,0.19999999999999996,0.40602619740820955,0.9644822658241506,0.26414760818662053,1
1,delta-0.30_seed001,1,-0.3,0.24999999999999994,0.3920349141844781,0.9632163142095538,0.2687272446935038,1
1,delta-0.30_seed001,1,-0.3,0.3,0.3781272467022063,0.963424541148838,0.26797976325116607,1
2,delta-0.30_seed002,2,-0.3,-0.3,0.39100980550574604,0.9772205259201389,-0.21222639732221588,1
2,delta-0.30_seed002,2,-0.3,-0.25,0.40186848027224187,0.9769261081301036,-0.2135775719820999,1
2,delta-0.30_seed002,2,-0.3,-0.2,0.41287200881924946,0.9773971797047151,-0.21141133627426212,1
2,delta-0.30_seed002,2,-0.3,-0.15,0.42349851365725044,0.9803622169184548,-0.19720528298890075,1
2,delta-0.30_seed002,2,-0.3,-0.1,0.4329875619878294,0.9866146095824143,-0.16306934769765888,1
2,delta-0.30_seed002,2,-0.3,-0.05000000000000002,0.4400266844459111,0.9952708739843327,-0.09713849596561852,1
2,delta-0.30_seed002,2,-0.3,0.0,0.4427475678821793,0.9999989578400729,0.0014437169972467674,1
2,delta-0.30_seed002,2,-0.3,0.04999999999999999,0.43988231259572785,0.9942319454199168,0.1072512876683887,1
2,delta-0.30_seed002,2,-0.3,0.09999999999999998,0.43196021708718035,0.9818531700705804,0.18964269672822154,1
