condition_index,condition_id,seed,delta,achieved_overlap,topology_status,max_sign_transitions,max_endpoint_speed,min_endpoint_margin_magnitude,boundary_u_range
0,delta-0.30_seed000,0,-0.3,0.0,valid,1,3.3174519972984714e-10,0.6599061105992196,0.061279752233531326
1,delta-0.30_seed001,1,-0.3,0.0,valid,1,3.291761468306974e-10,0.6599061105943885,0.06502410332905129
2,delta-0.30_seed002,2,-0.3,0.0,valid,1,3.2939041034658584e-10,0.6599061105969878,0.06490986960125156
3,delta-0.30_seed003,3,-0.3,0.0,valid,1,3.2864767371740226e-10,0.6599061105918183,0.05017652868991718
4,delta-0.30_seed004,4,-0.3,0.0,valid,1,3.3085702469689586e-10,0.6599061105943469,0.06202366415527649
5,delta-0.30_seed005,5,-0.3,0.0,valid,1,3.3070612019135383e-10,0.65990611059142,0.07214466441655532
6,delta-0.30_seed006,6,-0.3,0.0,valid,1,3.2939629077218586e-10,0.6599061105946358,0.07170905973180197
7,delta-0.30_seed007,7,-0.3,0.0,valid,1,3.292832652376568e-10,0.6599061105962334,0.06690613253158517
8,delta-0.15_seed000,0,-0.15,0.0,valid,1,1.430101099540174e-10,0.8142487488936911,0.0351548908802215
9,delta-0.15_seed001,1,-0.15,0.0,valid,1,1.4435701361036616e-10,0.8142487488931952,0.03210181344184093
10,delta-0.15_seed002,2,-0.15,0.0,valid,1,1.445046392786689e-10,0.814248748893366,0.035932329890783876
11,delta-0.15_seed003,3,-0.15,0.0,valid,1,1.4411399189514843e-10,0.814248748892594,0.02731831168057397
12,delta-0.15_seed004,4,-0.15,0.0,valid,1,1.4505453741680536e-10,0.8142487488927826,0.03154241063748486
13,delta-0.15_seed005,5,-0.15,0.0,valid,1,1.4508076211958268e-10,0.814248748892691,0.03951465801219456
14,delta-0.15_seed006,6,-0.15,0.0,valid,1,1.4451504625929435e-10,0.8142487488932565,0.04057493957225233
15,delta-0.15_seed007,7,-0.15,0.0,valid,1,1.4461585583795247e-10,0.8142487488934287,0.038059804268414155
16,delta+0.00_seed000,0,0.0,0.0,valid,1,1.234533285029928e-10,0.9658144852599287,0.013519021769752726
17,delta+0.00_seed001,1,0.0,0.0,valid,1,1.235699641052814e-10,0.9658144852598259,0.0006573415303137153
18,delta+0.00_seed002,2,0.0,0.0,valid,1,1.2355790345883416e-10,0.9658144852598535,0.014756347314687446
19,delta+0.00_seed003,3,0.0,0.0,valid,1,1.2349221673457101e-10,0.9658144852594547,0.008556099812267348
20,delta+0.00_seed004,4,0.0,0.0,valid,1,1.2364499369398877e-10,0.9658144852594953,0.008035495440708473
21,delta+0.00_seed005,5,0.0,0.0,valid,1,1.2367282273361492e-10,0.9658144852595552,0.014208861713996157
22,delta+0.00_seed006,6,0.0,0.0,valid,1,1.235680714936288e-10,0.9658144852598631,0.0173693748365622
23,delta+0.00_seed007,7,0.0,0.0,valid,1,1.2360746723013218e-10,0.9658144852599388,0.01362179810530506
24,delta+0.15_seed000,0,0.15,0.0,valid,1,1.4392355263928262e-10,0.814248748893935,0.035761339095188305
25,delta+0.15_seed001,1,0.15,0.0,valid,1,1.4458910122366933e-10,0.8142487488933335,0.03287876653485
26,delta+0.15_seed002,2,0.15,0.0,valid,1,1.4453982715336475e-10,0.8142487488933716,0.035936017375206575
27,delta+0.15_seed003,3,0.15,0.0,valid,1,1.440265018378569e-10,0.8142487488925821,0.027352535165846348
28,delta+0.15_seed004,4,0.15,0.0,valid,1,1.436460913025745e-10,0.8142487488925827,0.031015960877994075
29,delta+0.15_seed005,5,0.15,0.0,valid,1,1.4517069675963688e-10,0.8142487488927036,0.039555280935019255
30,delta+0.15_seed006,6,0.15,0.0,valid,1,1.4452944213898577e-10,0.814248748893262,0.04036107679712586
31,delta+0.15_seed007,7,0.15,0.0,valid,1,1.448004083774999e-10,0.8142487488935025,0.038253946957411245
32,delta+0.30_seed000,0,0.3,0.0,valid,1,3.3059503682328545e-10,0.6599061105992196,0.06252317898906767
33,delta+0.30_seed001,1,0.3,0.0,valid,1,3.2947635366484853e-10,0.6599061105952112,0.06634525654953904
34,delta+0.30_seed002,2,0.3,0.0,valid,1,3.2954795415160185e-10,0.65990611059716,0.06492509733652696
35,delta+0.30_seed003,3,0.3,0.0,valid,1,3.285379287079089e-10,0.659906110591623,0.05025251815095544
36,delta+0.30_seed004,4,0.3,0.0,valid,1,3.2820187163595307e-10,0.6599061105907054,0.06080714851850644
37,delta+0.30_seed005,5,0.3,0.0,valid,1,3.3099891725659035e-10,0.6599061105916196,0.07223365444224328
38,delta+0.30_seed006,6,0.3,0.0,valid,1,3.2927197269473035e-10,0.6599061105945067,0.07122280244948342
39,delta+0.30_seed007,7,0.3,0.0,valid,1,3.2972385309409556e-10,0.6599061105969722,0.0673366577248089
