condition_index,condition_id,seed,delta,estimator,median_angle_after_start,p90_angle_after_start,first_sustained_time,coverage
0,delta-0.30_seed000,0,-0.3,pullback_G,0.1452558793390707,0.25365688444593343,0.02,0.9966777408637874
0,delta-0.30_seed000,0,-0.3,overlap_normal,1.240927700432897,3.4859392119249155,0.72,1.0
0,delta-0.30_seed000,0,-0.3,energy_ridge_normal,1.582428292283605,3.9048034509825986,0.0,1.0
1,delta-0.30_seed001,1,-0.3,pullback_G,0.166130805047097,0.3685266956317762,0.1,0.9966777408637874
1,delta-0.30_seed001,1,-0.3,overlap_normal,1.2639320819303104,2.589920717692961,0.8200000000000001,1.0
1,delta-0.30_seed001,1,-0.3,energy_ridge_normal,1.3575641436052277,2.667896447223351,0.0,1.0
2,delta-0.30_seed002,2,-0.3,pullback_G,0.1770106165901074,0.3254264650253596,0.08,0.9966777408637874
2,delta-0.30_seed002,2,-0.3,overlap_normal,1.5660385702640505,4.136955902043315,0.8,1.0
2,delta-0.30_seed002,2,-0.3,energy_ridge_normal,1.8008194919295886,4.6625453503740735,0.0,1.0
3,delta-0.30_seed003,3,-0.3,pullback_G,0.0872358450336883,0.49231150499617093,0.02,0.9966777408637874
3,delta-0.30_seed003,3,-0.3,overlap_normal,1.779240896229639,4.381204606033497,0.7000000000000001,1.0
3,delta-0.30_seed003,3,-0.3,energy_ridge_normal,2.465257099351881,5.104438562220702,0.0,1.0
4,delta-0.30_seed004,4,-0.3,pullback_G,0.1513929470475622,0.4286853493279497,0.08,0.9966777408637874
4,delta-0.30_seed004,4,-0.3,overlap_normal,1.2939052835989613,3.9040332916101685,0.78,1.0
4,delta-0.30_seed004,4,-0.3,energy_ridge_normal,1.341795180614786,4.631754054042083,0.0,1.0
5,delta-0.30_seed005,5,-0.3,pullback_G,0.1408220479145086,0.33606575083443685,0.12,0.9966777408637874
5,delta-0.30_seed005,5,-0.3,overlap_normal,1.1535533098685258,3.3329228266177777,0.84,1.0
5,delta-0.30_seed005,5,-0.3,energy_ridge_normal,1.2208936410383937,3.646875184131061,0.0,1.0
6,delta-0.30_seed006,6,-0.3,pullback_G,0.2239200161460665,0.37562894427739396,0.14,0.9964221824686941
6,delta-0.30_seed006,6,-0.3,overlap_normal,1.2680709153580547,3.0328428726918477,0.92,1.0
6,delta-0.30_seed006,6,-0.3,energy_ridge_normal,1.5327538828486795,3.5833946529413883,0.0,1.0
7,delta-0.30_seed007,7,-0.3,pullback_G,0.1341678509206696,0.29914194887677775,0.08,0.9966777408637874
7,delta-0.30_seed007,7,-0.3,overlap_normal,1.5200350321822231,2.861550000172674,0.84,1.0
7,delta-0.30_seed007,7,-0.3,energy_ridge_normal,1.657144771236028,3.38333733257954,0.0,1.0
8,delta-0.15_seed000,0,-0.15,pullback_G,0.0744706826976694,0.1536847522128099,0.02,0.9966777408637874
8,delta-0.15_seed000,0,-0.15,overlap_normal,1.6284457227223623,5.830625983810016,0.38,1.0
8,delta-0.15_seed000,0,-0.15,energy_ridge_normal,2.1994841606699116,7.287934678853375,0.0,1.0
9,delta-0.15_seed001,1,-0.15,pullback_G,0.079618804044842,0.20463728466715533,0.02,0.9966777408637874
9,delta-0.15_seed001,1,-0.15,overlap_normal,0.8220075798546561,5.983807066452159,0.42,1.0
9,delta-0.15_seed001,1,-0.15,energy_ridge_normal,1.159872777094341,7.783321253629821,0.0,1.0
10,delta-0.15_seed002,2,-0.15,pullback_G,0.1106896285899074,0.20780720402732333,0.02,0.9966777408637874
10,delta-0.15_seed002,2,-0.15,overlap_normal,2.0597173482867768,4.725272935158577,0.22,1.0
10,delta-0.15_seed002,2,-0.15,energy_ridge_normal,2.570000692138879,5.123038862164496,0.0,1.0
11,delta-0.15_seed003,3,-0.15,pullback_G,0.0486880603132573,0.21632685356463235,0.02,0.9966777408637874
11,delta-0.15_seed003,3,-0.15,overlap_normal,2.381272300344289,4.446833890167592,0.0,1.0
11,delta-0.15_seed003,3,-0.15,energy_ridge_normal,2.7076732190515265,5.239144295675429,0.0,1.0
12,delta-0.15_seed004,4,-0.15,pullback_G,0.1074088246848193,0.24484350857074932,0.02,0.9966777408637874
12,delta-0.15_seed004,4,-0.15,overlap_normal,1.6635563074411768,5.130832917468494,0.2,1.0
12,delta-0.15_seed004,4,-0.15,energy_ridge_normal,2.3245152058222383,6.211095765967285,0.0,1.0
13,delta-0.15_seed005,5,-0.15,pullback_G,0.0824181560866618,0.2299998916517281,0.02,0.9966777408637874
13,delta-0.15_seed005,5,-0.15,overlap_normal,1.6085845998277366,4.092138131784651,0.46,1.0
13,delta-0.15_seed005,5,-0.15,energy_ridge_normal,2.448410458422,4.935074118552585,0.0,1.0
14,delta-0.15_seed006,6,-0.15,pullback_G,0.1043478566639409,0.2538332436307299,0.02,0.9966777408637874
14,delta-0.15_seed006,6,-0.15,overlap_normal,1.591280900184873,3.853092078052804,0.46,1.0
14,delta-0.15_seed006,6,-0.15,energy_ridge_normal,2.825964895467532,5.78381121965697,0.0,1.0
15,delta-0.15_seed007,7,-0.15,pullback_G,0.0779994378816946,0.16285926324388625,0.02,0.9966777408637874
