condition_index,condition_id,seed,delta,v_index,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
0,delta-0.30_seed000,0,-0.3,0,-0.3,0.3911711384280352,0.9725133609610912,-0.2328470801881835,1
0,delta-0.30_seed000,0,-0.3,1,-0.25,0.4031425462017068,0.9731628606833932,-0.2301174625849031,1
0,delta-0.30_seed000,0,-0.3,2,-0.2,0.4148174849833594,0.9760683510429556,-0.2174639604446803,1
0,delta-0.30_seed000,0,-0.3,3,-0.15,0.4254221294104354,0.9816574712390654,-0.1906531121186423,1
0,delta-0.30_seed000,0,-0.3,4,-0.1,0.4342390365636674,0.9889423597363765,-0.148300401614587,1
0,delta-0.30_seed000,0,-0.3,5,-0.05,0.4404179883858887,0.9963997808577734,-0.0847789874118667,1
0,delta-0.30_seed000,0,-0.3,6,0.0,0.4427475678821793,0.9999990872134442,0.0013511374017716,1
0,delta-0.30_seed000,0,-0.3,7,0.0499999999999999,0.4402828745223814,0.9955518927895324,0.0942148011895143,1
0,delta-0.30_seed000,0,-0.3,8,0.0999999999999999,0.4332839927665191,0.9850616183746418,0.172202229965618,1
0,delta-0.30_seed000,0,-0.3,9,0.1499999999999999,0.4228015082044294,0.9740940949501892,0.2261430834298752,1
0,delta-0.30_seed000,0,-0.3,10,0.1999999999999999,0.4100682598509593,0.9663904030034336,0.2570789547646044,1
0,delta-0.30_seed000,0,-0.3,11,0.2499999999999999,0.396199530994636,0.961450222636831,0.2749790344582441,1
0,delta-0.30_seed000,0,-0.3,12,0.3,0.3814678156486479,0.95923123490635,0.2826224300724186,1
1,delta-0.30_seed001,1,-0.3,0,-0.3,0.377723464553128,0.9596972101286751,-0.2810360561764937,1
1,delta-0.30_seed001,1,-0.3,1,-0.25,0.3923653772944817,0.9608202201150008,-0.2771723373970814,1
1,delta-0.30_seed001,1,-0.3,2,-0.2,0.4065709358692402,0.964335403550714,-0.26468326252085,1
1,delta-0.30_seed001,1,-0.3,3,-0.15,0.4198125975817675,0.9707778250528688,-0.2399800291391376,1
1,delta-0.30_seed001,1,-0.3,4,-0.1,0.431291322238394,0.9809777983125516,-0.1941199608949541,1
1,delta-0.30_seed001,1,-0.3,5,-0.05,0.4396010128984926,0.9935016185624648,-0.1138179858974971,1
1,delta-0.30_seed001,1,-0.3,6,0.0,0.4427475678821793,0.9999999722246106,0.0002356921257179,1
1,delta-0.30_seed001,1,-0.3,7,0.0499999999999999,0.4395774436852662,0.9933217102857764,0.115377553600951,1
1,delta-0.30_seed001,1,-0.3,8,0.0999999999999999,0.4311322420107899,0.9802873356667328,0.1975771736092469,1
1,delta-0.30_seed001,1,-0.3,9,0.1499999999999999,0.4194224170496454,0.9699000109274536,0.2435035293438784,1
1,delta-0.30_seed001,1,-0.3,10,0.1999999999999999,0.4060261974082095,0.9644822658241506,0.2641476081866205,1
1,delta-0.30_seed001,1,-0.3,11,0.2499999999999999,0.3920349141844781,0.9632163142095538,0.2687272446935038,1
1,delta-0.30_seed001,1,-0.3,12,0.3,0.3781272467022063,0.963424541148838,0.267979763251166,1
2,delta-0.30_seed002,2,-0.3,0,-0.3,0.391009805505746,0.9772205259201387,-0.2122263973222158,1
2,delta-0.30_seed002,2,-0.3,1,-0.25,0.4018684802722418,0.9769261081301036,-0.2135775719820999,1
2,delta-0.30_seed002,2,-0.3,2,-0.2,0.4128720088192494,0.9773971797047152,-0.2114113362742621,1
2,delta-0.30_seed002,2,-0.3,3,-0.15,0.4234985136572504,0.9803622169184548,-0.1972052829889007,1
2,delta-0.30_seed002,2,-0.3,4,-0.1,0.4329875619878294,0.9866146095824144,-0.1630693476976588,1
2,delta-0.30_seed002,2,-0.3,5,-0.05,0.4400266844459111,0.9952708739843328,-0.0971384959656185,1
2,delta-0.30_seed002,2,-0.3,6,0.0,0.4427475678821793,0.9999989578400728,0.0014437169972467,1
2,delta-0.30_seed002,2,-0.3,7,0.0499999999999999,0.4398823125957278,0.9942319454199168,0.1072512876683887,1
2,delta-0.30_seed002,2,-0.3,8,0.0999999999999999,0.4319602170871803,0.9818531700705804,0.1896426967282215,1
2,delta-0.30_seed002,2,-0.3,9,0.1499999999999999,0.4205675410485128,0.9705380083322408,0.2409480740377217,1
2,delta-0.30_seed002,2,-0.3,10,0.1999999999999999,0.4071339792717481,0.9631566648807228,0.2689409580109418,1
2,delta-0.30_seed002,2,-0.3,11,0.2499999999999999,0.3926446736877551,0.9596649651259064,0.2811461447537431,1
2,delta-0.30_seed002,2,-0.3,12,0.3,0.3778376982809277,0.9588390513936004,0.2839501250618149,1
3,delta-0.30_seed003,3,-0.3,0,-0.3,0.3925710391922621,0.975796855186941,-0.2186789825458221,1
3,delta-0.30_seed003,3,-0.3,1,-0.25,0.4037761881627375,0.9767451759185616,-0.2144035011836757,1
3,delta-0.30_seed003,3,-0.3,2,-0.2,0.4145218515914166,0.9792588573913096,-0.2026131541155867,1
3,delta-0.30_seed003,3,-0.3,3,-0.15,0.4244666473387042,0.9829700444050836,-0.1837658613624082,1
3,delta-0.30_seed003,3,-0.3,4,-0.1,0.4332168120745336,0.9881991476085512,-0.153174556195645,1
3,delta-0.30_seed003,3,-0.3,5,-0.05,0.4399670205748407,0.995488943766798,-0.0948776203225232,1
3,delta-0.30_seed003,3,-0.3,6,0.0,0.4427475678821793,0.9999999081499582,0.0004286024675051,1
3,delta-0.30_seed003,3,-0.3,7,0.0499999999999999,0.4399241603241535,0.9952771652209051,0.0970740150083376,1
3,delta-0.30_seed003,3,-0.3,8,0.0999999999999999,0.4329941023752326,0.987873307768432,0.1552621260921584,1
