condition_index,condition_id,seed,delta,estimator,median_angle_after_start,p90_angle_after_start,coverage_after_start
0,delta-0.30_seed000,0,-0.3,pullback_G,0.1452558793390707,0.25365688444593343,1.0
0,delta-0.30_seed000,0,-0.3,same_point_overlap_gradient,0.1452547717871471,0.25363683639641904,1.0
0,delta-0.30_seed000,0,-0.3,same_point_energy_hessian,0.1452531596633466,0.2536368328905248,1.0
0,delta-0.30_seed000,0,-0.3,instantaneous_strain_S0,4.983903818614306,6.92842181329183,1.0
0,delta-0.30_seed000,0,-0.3,time_varying_strain_St,0.1452563783102724,0.25367860645682616,1.0
1,delta-0.30_seed001,1,-0.3,pullback_G,0.166130805047097,0.3685266956317762,1.0
1,delta-0.30_seed001,1,-0.3,same_point_overlap_gradient,0.1661295032692405,0.3684712999510741,1.0
1,delta-0.30_seed001,1,-0.3,same_point_energy_hessian,0.1661154304690826,0.36847128120739336,1.0
1,delta-0.30_seed001,1,-0.3,instantaneous_strain_S0,5.885669581123376,8.22192687207678,1.0
1,delta-0.30_seed001,1,-0.3,time_varying_strain_St,0.1661345794267302,0.3685334460701612,1.0
2,delta-0.30_seed002,2,-0.3,pullback_G,0.1770106165901074,0.3254264650253596,1.0
2,delta-0.30_seed002,2,-0.3,same_point_overlap_gradient,0.1770088051033967,0.33062559913537987,1.0
2,delta-0.30_seed002,2,-0.3,same_point_energy_hessian,0.1770037002759383,0.3120078898727183,1.0
2,delta-0.30_seed002,2,-0.3,instantaneous_strain_S0,5.635819178790754,7.721144042820459,1.0
2,delta-0.30_seed002,2,-0.3,time_varying_strain_St,0.1770129994226411,0.31213413209106966,1.0
3,delta-0.30_seed003,3,-0.3,pullback_G,0.0872358450336883,0.49231150499617093,1.0
3,delta-0.30_seed003,3,-0.3,same_point_overlap_gradient,0.0872334562386615,0.49230796908687546,1.0
3,delta-0.30_seed003,3,-0.3,same_point_energy_hessian,0.0872308622932727,0.4923079615001457,1.0
3,delta-0.30_seed003,3,-0.3,instantaneous_strain_S0,4.720180696567237,5.737472487710872,1.0
3,delta-0.30_seed003,3,-0.3,time_varying_strain_St,0.0872346154531963,0.49235952704370456,1.0
4,delta-0.30_seed004,4,-0.3,pullback_G,0.1513929470475622,0.4286853493279497,1.0
4,delta-0.30_seed004,4,-0.3,same_point_overlap_gradient,0.1513896359175627,0.42907691318304736,1.0
4,delta-0.30_seed004,4,-0.3,same_point_energy_hessian,0.1513871132182269,0.3897160152164314,1.0
4,delta-0.30_seed004,4,-0.3,instantaneous_strain_S0,5.646741736571518,7.465510429624165,1.0
4,delta-0.30_seed004,4,-0.3,time_varying_strain_St,0.151393006339692,0.38991826199360974,1.0
5,delta-0.30_seed005,5,-0.3,pullback_G,0.1408220479145086,0.33606575083443685,1.0
5,delta-0.30_seed005,5,-0.3,same_point_overlap_gradient,0.140817001826339,0.3359699993536706,1.0
5,delta-0.30_seed005,5,-0.3,same_point_energy_hessian,0.1408068871138264,0.33596998544324674,1.0
5,delta-0.30_seed005,5,-0.3,instantaneous_strain_S0,6.137730565406018,8.398351517082022,1.0
5,delta-0.30_seed005,5,-0.3,time_varying_strain_St,0.1408246780954417,0.3361014527583905,1.0
6,delta-0.30_seed006,6,-0.3,pullback_G,0.2239200161460665,0.37562894427739396,1.0
6,delta-0.30_seed006,6,-0.3,same_point_overlap_gradient,0.2239176924996548,0.37554105669442195,1.0
6,delta-0.30_seed006,6,-0.3,same_point_energy_hessian,0.2238832724918306,0.3755410185831664,1.0
6,delta-0.30_seed006,6,-0.3,instantaneous_strain_S0,6.3256263854765,9.292143182130811,1.0
6,delta-0.30_seed006,6,-0.3,time_varying_strain_St,0.2239268198029958,0.3757208838596627,1.0
7,delta-0.30_seed007,7,-0.3,pullback_G,0.1341678509206696,0.29914194887677775,1.0
7,delta-0.30_seed007,7,-0.3,same_point_overlap_gradient,0.1341635552675831,0.2990903578183443,1.0
7,delta-0.30_seed007,7,-0.3,same_point_energy_hessian,0.134160954990604,0.29909033671980045,1.0
7,delta-0.30_seed007,7,-0.3,instantaneous_strain_S0,5.717483047604219,7.798230024821434,1.0
7,delta-0.30_seed007,7,-0.3,time_varying_strain_St,0.1341692135980693,0.30010238601275996,1.0
8,delta-0.15_seed000,0,-0.15,pullback_G,0.0744706826976694,0.1536847522128099,1.0
8,delta-0.15_seed000,0,-0.15,same_point_overlap_gradient,0.074472254886759,0.15368475151416255,1.0
8,delta-0.15_seed000,0,-0.15,same_point_energy_hessian,0.0744729808299438,0.15368475218814617,1.0
8,delta-0.15_seed000,0,-0.15,instantaneous_strain_S0,2.0848711796690105,4.037138017909631,1.0
8,delta-0.15_seed000,0,-0.15,time_varying_strain_St,0.0744705629249691,0.15368475286070676,1.0
9,delta-0.15_seed001,1,-0.15,pullback_G,0.079618804044842,0.20463728466715533,1.0
9,delta-0.15_seed001,1,-0.15,same_point_overlap_gradient,0.0796188111264238,0.2046372819297096,1.0
9,delta-0.15_seed001,1,-0.15,same_point_energy_hessian,0.0796187187774201,0.20463727714372104,1.0
9,delta-0.15_seed001,1,-0.15,instantaneous_strain_S0,3.07492664957178,4.127503605424703,1.0
9,delta-0.15_seed001,1,-0.15,time_varying_strain_St,0.0796186140549669,0.20463728813696136,1.0
10,delta-0.15_seed002,2,-0.15,pullback_G,0.1106896285899074,0.20780720402732333,1.0
10,delta-0.15_seed002,2,-0.15,same_point_overlap_gradient,0.1106895939377928,0.2078071757122438,1.0
10,delta-0.15_seed002,2,-0.15,same_point_energy_hessian,0.1106896052152068,0.20780717059973022,1.0
10,delta-0.15_seed002,2,-0.15,instantaneous_strain_S0,2.334261681985662,4.738017228502056,1.0
10,delta-0.15_seed002,2,-0.15,time_varying_strain_St,0.1106896290245405,0.20780721335331817,1.0
11,delta-0.15_seed003,3,-0.15,pullback_G,0.0486880603132573,0.21632685356463235,1.0
11,delta-0.15_seed003,3,-0.15,same_point_overlap_gradient,0.0486880563458301,0.2163268521500816,1.0
11,delta-0.15_seed003,3,-0.15,same_point_energy_hessian,0.0486867007244162,0.21632685264776894,1.0
11,delta-0.15_seed003,3,-0.15,instantaneous_strain_S0,2.319683385821384,3.087421230422643,1.0
11,delta-0.15_seed003,3,-0.15,time_varying_strain_St,0.0486880603057716,0.21632685824565628,1.0
12,delta-0.15_seed004,4,-0.15,pullback_G,0.1074088246848193,0.24484350857074932,1.0
12,delta-0.15_seed004,4,-0.15,same_point_overlap_gradient,0.1073665277142147,0.2448434901815943,1.0
