rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.1,softmax,0.05,99.99655958860441,99.9963256244998,99.99683190825566,
0.1,softmax,0.1,99.98599399078216,99.98504867445065,99.98706634799831,
0.1,softmax,0.15,99.96791364885263,99.96576490036082,99.97028652796075,
0.1,softmax,0.2,99.94189663407431,99.93803698003202,99.94604063746515,
0.1,softmax,0.25,99.9074864638323,99.90139229676144,99.9138394258061,0.0
0.1,softmax,0.3,99.86418983637301,99.85532063768413,99.87315368339222,
0.1,softmax,0.35,99.8114742905522,99.79927182077616,99.82341163242019,
0.1,softmax,0.4,99.7487658005317,99.73265326170072,99.76399623769052,
0.1,softmax,0.45,99.67544631823198,99.65482749474937,99.69424245145437,
0.1,softmax,0.5,99.59085127965929,99.56510966566798,99.61343441001735,0.0
0.1,softmax,0.6,99.38492864683036,99.34705735309473,99.41552105097165,
0.1,softmax,0.7,99.12244828717166,99.07288663804498,99.16369045672506,
0.1,softmax,0.75,98.9666490701313,98.91241698185962,99.01515599099174,0.0
0.1,softmax,0.8,98.79354057314791,98.7350739664592,98.85012424765642,
0.1,softmax,0.9,98.39053282352228,98.32556532632614,98.46640069929742,
0.1,softmax,1.0,97.9080313878975,97.83535221531518,98.00329517516262,0.0
0.1,softmax,1.1,97.34546458611183,97.25445028825851,97.44921872957504,
0.1,softmax,1.2,96.6834609911804,96.57191127163328,96.79201658941837,
0.1,softmax,1.3,95.91001930702667,95.77588032705758,96.0184249672819,
0.1,softmax,1.4,95.00443941500725,94.84589526149489,95.11407690684092,
0.1,softmax,1.5,93.94540606997225,93.73884926444072,94.0590294685113,0.0
0.1,softmax,1.6,92.72682987611046,92.4575595200305,92.85595546554326,
0.1,softmax,1.7,91.35185957035281,91.02258367023254,91.4907140550499,
0.1,softmax,1.8,89.78413621391309,89.39268482124982,89.95190408727125,
0.1,softmax,1.9,88.01796392372798,87.54573132542978,88.2085440939439,
0.1,softmax,2.0,86.02110870825402,85.47218592168522,86.2556507369804,0.0
0.1,softmax,2.25,80.05138779697941,79.28152569737263,80.45238777235608,
0.1,softmax,2.5,72.86327052859042,71.70659597367013,73.33382154612711,
0.1,softmax,2.75,64.56875573352761,63.01993804001085,65.18677605311936,
0.1,softmax,3.0,55.56176812311065,53.73155956713941,56.38064859848117,0.0
0.1,softmax,3.25,46.41815246575746,44.47088949017192,47.44260789552415,
0.1,softmax,3.5,37.78423638594434,35.87214594075918,38.91611422122666,
0.1,softmax,3.75,30.14988321142404,28.360212207278806,31.184050378438634,
0.1,softmax,4.0,23.70771698876277,22.13795862679321,24.595162709112433,0.0
0.1,softmax,4.5,14.379913703330875,13.308403025824827,14.97300640908445,
0.1,softmax,5.0,8.798400064782616,8.1300988023092,9.177432255658937,
0.1,softmax,5.5,5.606773637407732,5.199588547332872,5.842690931348702,
0.1,softmax,6.0,3.787972905888377,3.5388227571325896,3.9352588271313573,0.0
0.1,softmax,6.5,2.7331189858406164,2.57734371630394,2.8267478704875844,
0.1,softmax,7.0,2.1046800711272358,2.003691206402136,2.1657116537692307,
0.1,softmax,7.5,1.7194309421876337,1.652318553375127,1.7606295472065612,
