rho,level,method,alpha,cue_count,seconds
0.1,low,softmax,48.0,24,0.226851750005153
0.1,low,sparsemax,1.8,24,0.06312500000058208
0.1,middle,softmax,5.0,24,0.245823916993686
0.1,middle,sparsemax,0.4,24,0.22882670800026972
0.1,high,softmax,2.5,24,0.23213891699560918
0.1,high,sparsemax,0.05,24,0.23661333300697152
0.25,low,softmax,48.0,24,0.24889995901321527
0.25,low,sparsemax,3.75,24,0.07857099999091588
0.25,middle,softmax,8.5,24,0.2460201249923557
0.25,middle,sparsemax,0.7,24,0.23148479200608563
0.25,high,softmax,3.5,24,0.2655352919973666
0.25,high,sparsemax,0.05,24,0.3520650830032537
0.4,low,softmax,48.0,24,0.2970617079990916
0.4,low,sparsemax,8.0,24,0.1149844169995049
0.4,middle,softmax,20.0,24,0.29941016700468026
0.4,middle,sparsemax,0.75,24,0.2790504580043489
0.4,high,softmax,5.0,24,0.2736775839875918
0.4,high,sparsemax,0.05,24,0.2764087079995079
