rho,level,method,trajectories,collapsed_at_entry,t50_censored,t10_censored,extinct_at_final,collapsed_at_entry_fraction,t50_censored_fraction,t10_censored_fraction,extinct_at_final_fraction
0.1,high,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.1,high,sparsemax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.1,low,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.1,low,sparsemax,24,24,0,0,24,1.0,0.0,0.0,1.0
0.1,middle,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.1,middle,sparsemax,24,0,0,8,0,0.0,0.0,0.3333333333333333,0.0
0.25,high,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.25,high,sparsemax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.25,low,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.25,low,sparsemax,24,24,0,0,24,1.0,0.0,0.0,1.0
0.25,middle,softmax,24,0,0,0,0,0.0,0.0,0.0,0.0
0.25,middle,sparsemax,24,0,0,6,0,0.0,0.0,0.25,0.0
0.4,high,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.4,high,sparsemax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.4,low,softmax,24,0,0,0,24,0.0,0.0,0.0,1.0
0.4,low,sparsemax,24,3,0,0,24,0.125,0.0,0.0,1.0
0.4,middle,softmax,24,0,0,0,22,0.0,0.0,0.0,0.9166666666666666
0.4,middle,sparsemax,24,0,0,1,0,0.0,0.0,0.041666666666666664,0.0
