memory_seed,rho,level,method,mean_dimension_auc
0,0.1,high,softmax,0.23867203074362614
0,0.1,high,sparsemax,0.2308080145223367
0,0.1,low,softmax,0.0833333333333333
0,0.1,low,sparsemax,0.0
0,0.1,middle,softmax,0.19116277045732094
0,0.1,middle,sparsemax,0.29042274695748876
0,0.25,high,softmax,0.2365213161872984
0,0.25,high,sparsemax,0.23079776720588152
0,0.25,low,softmax,0.0833333333333333
0,0.25,low,sparsemax,0.0026041666666666657
0,0.4,high,softmax,0.2503517578906282
0,0.4,high,sparsemax,0.23059457521696614
0,0.4,low,softmax,0.08402775228765406
0,0.4,low,sparsemax,0.08550059161964764
0,0.4,middle,softmax,0.12125562772228156
0,0.4,middle,sparsemax,0.24551875192062456
1,0.1,high,softmax,0.2388409818658982
1,0.1,high,sparsemax,0.22391714283629677
1,0.1,low,softmax,0.0833333333333333
1,0.1,low,sparsemax,0.0026041666666666657
1,0.1,middle,softmax,0.19448614168414713
1,0.1,middle,sparsemax,0.28371375798639037
1,0.25,high,softmax,0.22935889538627566
1,0.25,high,sparsemax,0.22372717910457243
1,0.25,low,softmax,0.0833333333333333
1,0.25,low,sparsemax,0.0078124999999999965
1,0.25,middle,softmax,0.09285285860444883
1,0.25,middle,sparsemax,0.26509229038284393
1,0.4,high,softmax,0.2408499211990161
1,0.4,high,sparsemax,0.2238988956185218
2,0.1,high,softmax,0.22926779413578377
2,0.1,high,sparsemax,0.20488062875813187
2,0.1,low,softmax,0.0833333333333333
2,0.1,low,sparsemax,0.0026041666666666657
2,0.1,middle,softmax,0.21227587212130605
2,0.1,middle,sparsemax,0.283187039959081
2,0.25,high,softmax,0.22406765771534895
2,0.25,high,sparsemax,0.2048479556792261
2,0.25,low,softmax,0.0833333333333333
2,0.25,low,sparsemax,0.013020833333333329
2,0.25,middle,softmax,0.0951933578035701
2,0.25,middle,sparsemax,0.2622137091500106
2,0.4,high,softmax,0.22539088210569336
2,0.4,high,sparsemax,0.20477746185722062
3,0.1,high,softmax,0.20838584871770513
3,0.1,high,sparsemax,0.18531462275556895
3,0.1,low,softmax,0.0833333333333333
3,0.1,low,sparsemax,0.0
3,0.1,middle,softmax,0.2256788593626345
3,0.1,middle,sparsemax,0.2572867475125296
3,0.25,high,softmax,0.2015239038963823
3,0.25,high,sparsemax,0.1859956996139217
3,0.25,low,softmax,0.0833333333333333
3,0.25,low,sparsemax,0.0026041666666666657
3,0.4,high,softmax,0.19754663424134822
3,0.4,high,sparsemax,0.18528571478390798
3,0.4,low,softmax,0.08581949809313504
3,0.4,low,sparsemax,0.08066018361207235
3,0.4,middle,softmax,0.10573673329716961
3,0.4,middle,sparsemax,0.23748070779156666
4,0.1,high,softmax,0.23390322160335256
4,0.1,high,sparsemax,0.21349570745259935
4,0.1,low,softmax,0.0833333333333333
4,0.1,low,sparsemax,0.0026041666666666657
4,0.1,middle,softmax,0.24109138495910207
4,0.1,middle,sparsemax,0.27393927630558856
4,0.25,high,softmax,0.23141318625502996
4,0.25,high,sparsemax,0.21331420242455584
4,0.25,low,softmax,0.0833333333333333
4,0.25,low,sparsemax,0.0026041666666666657
4,0.25,middle,softmax,0.09687088168397871
4,0.25,middle,sparsemax,0.2597176326793807
4,0.4,high,softmax,0.22872907680271146
4,0.4,high,sparsemax,0.21335750343055315
4,0.4,low,softmax,0.08473076307329494
4,0.4,low,sparsemax,0.07929154154930705
5,0.1,high,softmax,0.23310945762757435
5,0.1,high,sparsemax,0.2203549528015433
5,0.1,low,softmax,0.0833333333333333
5,0.1,low,sparsemax,0.0026041666666666657
5,0.1,middle,softmax,0.19249882152936204
5,0.1,middle,sparsemax,0.2773462834904774
5,0.25,high,softmax,0.23248374706108163
5,0.25,high,sparsemax,0.22073389237850108
5,0.25,low,softmax,0.0833333333333333
5,0.25,low,sparsemax,0.0
5,0.4,high,softmax,0.2362346928161582
5,0.4,high,sparsemax,0.22060916277323184
6,0.1,high,softmax,0.22687978179900492
6,0.1,high,sparsemax,0.20915714736767627
6,0.1,low,softmax,0.0833333333333333
6,0.1,low,sparsemax,0.0
6,0.1,middle,softmax,0.1995524691989636
6,0.1,middle,sparsemax,0.2876481440349689
6,0.25,high,softmax,0.2173984807285658
6,0.25,high,sparsemax,0.20908213325585545
6,0.25,low,softmax,0.0833333333333333
6,0.25,low,sparsemax,0.0026041666666666657
6,0.4,high,softmax,0.22538848501322672
6,0.4,high,sparsemax,0.20868723101263187
6,0.4,low,softmax,0.0845582118285719
6,0.4,low,sparsemax,0.0766555735131001
6,0.4,middle,softmax,0.10424608068578843
6,0.4,middle,sparsemax,0.2484183603285625
7,0.1,high,softmax,0.2405350671348843
7,0.1,high,sparsemax,0.22664995692212073
7,0.1,low,softmax,0.0833333333333333
7,0.1,low,sparsemax,0.0
7,0.1,middle,softmax,0.20024487211811515
7,0.1,middle,sparsemax,0.2884623473197032
7,0.25,high,softmax,0.22986543753794442
7,0.25,high,sparsemax,0.22628402862175825
7,0.25,low,softmax,0.0833333333333333
7,0.25,low,sparsemax,0.0026041666666666657
7,0.25,middle,softmax,0.09426918233133691
7,0.25,middle,sparsemax,0.25764204038292027
7,0.4,high,softmax,0.24050430836538972
7,0.4,high,sparsemax,0.22651286550840954
7,0.4,middle,softmax,0.10689092400880114
7,0.4,middle,sparsemax,0.24692790512834326
