cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
5.0,0.0,5.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.362133593990881e-14,5,0.9999999999999996,1.0000000000000009,1,low,1.0000000000029354
8.0,0.0,8.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.136102109634245e-15,8,1.0,1.0,1,low,1.0000000000029354
10.0,0.0,10.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.0808189297773026e-15,10,1.0,1.0,1,low,1.0000000000029354
12.0,0.0,12.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.5378192813067484e-15,12,1.0,1.0,1,low,1.0000000000029354
13.0,0.0,13.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.0329948222055934e-14,13,0.9999999999999998,1.0000000000000004,1,low,1.0000000000029354
14.0,0.0,14.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,7.464367852368318e-16,14,1.0,1.0,1,low,1.0000000000029354
16.0,0.0,16.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,6.6182469684853906e-15,16,1.0,1.0,1,low,1.0000000000029354
17.0,0.0,17.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.8065626979521e-15,17,1.0,1.0,1,low,1.0000000000029354
18.0,0.0,18.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.2192416384864902e-15,18,1.0,1.0,1,low,1.0000000000029354
24.0,0.0,24.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,7.418933724963283e-16,24,1.0,1.0,1,low,1.0000000000029354
27.0,0.0,27.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,2.063216463705149e-15,27,1.0,1.0,1,low,1.0000000000029354
28.0,0.0,28.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.6400923303360894e-14,28,0.9999999999999998,1.0000000000000004,1,low,1.0000000000029354
32.0,0.0,32.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.417658870776228e-16,32,1.0,1.0,1,low,1.0000000000029354
39.0,0.0,39.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,7.483232624548443e-16,39,1.0,1.0,1,low,1.0000000000029354
41.0,0.0,41.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.0635461427250216e-14,41,0.9999999999999998,1.0000000000000004,1,low,1.0000000000029354
49.0,0.0,49.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.0839244458964483e-15,49,1.0,1.0,1,low,1.0000000000029354
54.0,0.0,54.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,2.239415636901765e-16,54,1.0,1.0,1,low,1.0000000000029354
57.0,0.0,57.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.506202834502634e-13,57,0.9999999999999976,1.0000000000000049,1,low,1.0000000000029354
58.0,0.0,58.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.156105798127734e-15,58,1.0,1.0,1,low,1.0000000000029354
59.0,0.0,59.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,1.6000568024651083e-14,59,0.9999999999999998,1.0000000000000004,1,low,1.0000000000029354
61.0,0.0,61.0,0.1,0.0,softmax,48.0,correct_memory_like,True,4,True,3.3627898800850364e-14,61,0.9999999999999996,1.0000000000000009,1,low,1.0000000000029354
