memory_seed,rho,level,method,alpha,cue_count,seconds
0,0.1,low,softmax,48.0,32,0.2918927920109126
0,0.1,low,sparsemax,1.8,32,0.0790291669836733
0,0.1,middle,softmax,5.0,32,0.3112944169843104
0,0.1,middle,sparsemax,0.4,32,0.2940563750162255
0,0.1,high,softmax,2.5,32,0.3188614579848945
0,0.1,high,sparsemax,0.05,32,0.307636374986032
0,0.25,low,softmax,48.0,32,0.3036344159918371
0,0.25,low,sparsemax,3.75,32,0.0797969590057618
0,0.25,high,softmax,3.5,32,0.3115592079993803
0,0.25,high,sparsemax,0.05,32,0.3182094579969998
0,0.4,low,softmax,48.0,32,0.3958205840026494
0,0.4,low,sparsemax,8.0,32,0.1326130839879624
0,0.4,middle,softmax,19.0,32,0.3281623749935534
0,0.4,middle,sparsemax,0.7,32,0.3024143330112565
0,0.4,high,softmax,5.0,32,0.8929046659904998
0,0.4,high,sparsemax,0.05,32,0.6963196249853354
1,0.1,low,softmax,48.0,32,0.3476426670094952
1,0.1,low,sparsemax,1.8,32,0.1079675829969346
1,0.1,middle,softmax,5.0,32,0.361377666995395
1,0.1,middle,sparsemax,0.4,32,0.3469484160013962
1,0.1,high,softmax,2.5,32,0.3605707499955315
1,0.1,high,sparsemax,0.05,32,0.3497724170156289
1,0.25,low,softmax,48.0,32,0.374288124992745
1,0.25,low,sparsemax,3.75,32,0.1640070830180775
1,0.25,middle,softmax,8.5,32,0.7241742089972831
1,0.25,middle,sparsemax,0.7,32,0.4734434160054661
1,0.25,high,softmax,3.5,32,0.625892499985639
1,0.25,high,sparsemax,0.05,32,0.7967897499911487
1,0.4,high,softmax,5.0,32,0.4023411250091158
1,0.4,high,sparsemax,0.05,32,0.3593475839879829
2,0.1,low,softmax,48.0,32,0.363727124989964
2,0.1,low,sparsemax,1.8,32,0.1122616659849882
2,0.1,middle,softmax,5.0,32,0.5891499590070453
2,0.1,middle,sparsemax,0.4,32,0.3856989170017186
2,0.1,high,softmax,2.5,32,0.3636697919864673
2,0.1,high,sparsemax,0.05,32,0.3619599159865174
2,0.25,low,softmax,48.0,32,0.3387648749921936
2,0.25,low,sparsemax,3.5,32,0.1175053750048391
2,0.25,middle,softmax,8.5,32,0.3559625420020893
2,0.25,middle,sparsemax,0.7,32,0.3592141669942066
2,0.25,high,softmax,3.5,32,0.3830714999930933
2,0.25,high,sparsemax,0.05,32,0.6603276249952614
2,0.4,high,softmax,5.0,32,0.4093596660241019
2,0.4,high,sparsemax,0.05,32,0.827584584010765
3,0.1,low,softmax,48.0,32,0.7930218749970663
3,0.1,low,sparsemax,1.8,32,0.7241815000015777
3,0.1,middle,softmax,5.0,32,0.8722798749804497
3,0.1,middle,sparsemax,0.4,32,1.0829462080146186
3,0.1,high,softmax,2.5,32,0.6274035410024226
3,0.1,high,sparsemax,0.05,32,0.7231484579970129
3,0.25,low,softmax,48.0,32,0.6807364579872228
3,0.25,low,sparsemax,3.75,32,0.2876923750154674
3,0.25,high,softmax,3.5,32,0.6757708330114838
3,0.25,high,sparsemax,0.05,32,2.5937556250137277
3,0.4,low,softmax,48.0,32,0.7200915419962257
3,0.4,low,sparsemax,8.0,32,0.3215591670013964
3,0.4,middle,softmax,19.0,32,0.7131749579857569
3,0.4,middle,sparsemax,0.75,32,0.7386386249854695
3,0.4,high,softmax,5.0,32,0.6665901250089519
3,0.4,high,sparsemax,0.05,32,0.5051076249801554
4,0.1,low,softmax,48.0,32,0.8399469169962686
4,0.1,low,sparsemax,1.8,32,0.2437149999896064
4,0.1,middle,softmax,5.0,32,1.3719678339839447
4,0.1,middle,sparsemax,0.4,32,0.9420062499993946
4,0.1,high,softmax,2.5,32,0.5831377919821534
4,0.1,high,sparsemax,0.05,32,0.6847315420163795
4,0.25,low,softmax,48.0,32,1.028785250004148
4,0.25,low,sparsemax,4.0,32,0.258284666982945
4,0.25,middle,softmax,8.5,32,0.7761600000085309
4,0.25,middle,sparsemax,0.7,32,0.6918831250222865
4,0.25,high,softmax,3.5,32,0.8378810420108493
4,0.25,high,sparsemax,0.05,32,0.7760069580108393
