memory_seed,check,error,tolerance,passed
0,atlas_t0_whitened_identity,3.0094327644061055e-16,1e-10,True
0,atlas_AD_equals_full_projection,1.6353718784621254e-16,1e-08,True
0,ritz_upper_bound,0.0,1e-10,True
0,orthogonal_complement_annihilated,3.1191462884713913e-16,1e-10,True
0,analytic_transform_jacobians,4.624714912463386e-16,1e-08,True
0,gram_spectrum_finite_and_psd,2.4819775178060447e-19,1e-10,True
0,cumulative_recurrence_and_reduced_basis,1.1720255108231736e-15,1e-08,True
1,atlas_t0_whitened_identity,1.6435074526764696e-16,1e-10,True
1,atlas_AD_equals_full_projection,2.6999709919135065e-16,1e-08,True
1,ritz_upper_bound,0.0,1e-10,True
1,orthogonal_complement_annihilated,3.1871895399599027e-16,1e-10,True
1,analytic_transform_jacobians,4.779858422745806e-16,1e-08,True
1,gram_spectrum_finite_and_psd,2.798953899735892e-19,1e-10,True
1,cumulative_recurrence_and_reduced_basis,9.815958631064153e-16,1e-08,True
2,atlas_t0_whitened_identity,6.681636013515806e-16,1e-10,True
2,atlas_AD_equals_full_projection,1.8372402393809902e-16,1e-08,True
2,ritz_upper_bound,0.0,1e-10,True
2,orthogonal_complement_annihilated,3.135481051925305e-16,1e-10,True
2,analytic_transform_jacobians,4.514206991623483e-16,1e-08,True
2,gram_spectrum_finite_and_psd,2.4992473146390653e-19,1e-10,True
2,cumulative_recurrence_and_reduced_basis,1.0416939475272217e-15,1e-08,True
3,atlas_t0_whitened_identity,6.6973807122470445e-16,1e-10,True
3,atlas_AD_equals_full_projection,2.122141788555463e-16,1e-08,True
3,ritz_upper_bound,0.0,1e-10,True
3,orthogonal_complement_annihilated,3.134078323770839e-16,1e-10,True
3,analytic_transform_jacobians,4.664228764932348e-16,1e-08,True
3,gram_spectrum_finite_and_psd,3.308514666481741e-19,1e-10,True
3,cumulative_recurrence_and_reduced_basis,1.0701020851122569e-15,1e-08,True
4,atlas_t0_whitened_identity,2.5523436361293173e-16,1e-10,True
4,atlas_AD_equals_full_projection,2.409183081500079e-16,1e-08,True
4,ritz_upper_bound,0.0,1e-10,True
4,orthogonal_complement_annihilated,3.1396962936182895e-16,1e-10,True
4,analytic_transform_jacobians,4.753381457168556e-16,1e-08,True
4,gram_spectrum_finite_and_psd,2.8170007945487865e-19,1e-10,True
4,cumulative_recurrence_and_reduced_basis,1.0825354588876e-15,1e-08,True
5,atlas_t0_whitened_identity,3.040470972244059e-16,1e-10,True
5,atlas_AD_equals_full_projection,2.0990429281151635e-16,1e-08,True
5,ritz_upper_bound,0.0,1e-10,True
5,orthogonal_complement_annihilated,3.1388385950906886e-16,1e-10,True
5,analytic_transform_jacobians,4.48395729878713e-16,1e-08,True
5,gram_spectrum_finite_and_psd,2.9747903431753343e-19,1e-10,True
5,cumulative_recurrence_and_reduced_basis,1.0351623163893067e-15,1e-08,True
6,atlas_t0_whitened_identity,5.057306561942087e-16,1e-10,True
6,atlas_AD_equals_full_projection,2.669554889920966e-16,1e-08,True
6,ritz_upper_bound,0.0,1e-10,True
6,orthogonal_complement_annihilated,3.233770083320558e-16,1e-10,True
6,analytic_transform_jacobians,4.700318279346447e-16,1e-08,True
6,gram_spectrum_finite_and_psd,2.632300368907576e-19,1e-10,True
6,cumulative_recurrence_and_reduced_basis,1.0351834567968624e-15,1e-08,True
7,atlas_t0_whitened_identity,4.847302891456678e-16,1e-10,True
7,atlas_AD_equals_full_projection,3.2617429118640613e-16,1e-08,True
7,ritz_upper_bound,0.0,1e-10,True
7,orthogonal_complement_annihilated,2.926083473993883e-16,1e-10,True
7,analytic_transform_jacobians,4.744669081489445e-16,1e-08,True
7,gram_spectrum_finite_and_psd,2.9384295307457933e-19,1e-10,True
7,cumulative_recurrence_and_reduced_basis,1.0438108023825106e-15,1e-08,True
