memory_seed,level,method,cue_count,seconds
0,low,softmax,96,0.9288512089988217
0,low,sparsemax,96,0.7334056250110734
0,middle,softmax,96,0.9253394169791136
0,middle,sparsemax,96,0.9614015840052161
0,high,softmax,96,0.9242264999775216
0,high,sparsemax,96,0.9308322079887148
1,low,softmax,96,0.9935595419956371
1,low,sparsemax,96,0.7470920419727918
1,middle,softmax,96,0.9234684999973979
1,middle,sparsemax,96,0.9137021250207908
1,high,softmax,96,0.9587511249992531
1,high,sparsemax,96,0.9540264169918373
2,low,softmax,96,0.9182852910016663
2,low,sparsemax,96,0.7805637919809669
2,middle,softmax,96,0.9176772920181975
2,middle,sparsemax,96,1.0090194160002284
2,high,softmax,96,0.9490940409887116
2,high,sparsemax,96,0.9646177079994231
3,low,softmax,96,0.9329731250181794
3,low,sparsemax,96,0.7487789999868255
3,middle,softmax,96,0.9509346249978989
3,middle,sparsemax,96,0.9275652919895947
3,high,softmax,96,0.9362891250057146
3,high,sparsemax,96,0.9367062080127653
4,low,softmax,96,0.9634952080086805
4,low,sparsemax,96,0.7684872499958146
4,middle,softmax,96,0.9435455829952843
4,middle,sparsemax,96,0.973236874997383
4,high,softmax,96,0.9379333750111982
4,high,sparsemax,96,1.1905714169843122
5,low,softmax,96,1.008709749992704
5,low,sparsemax,96,0.7801345000043511
5,middle,softmax,96,1.0017908750160132
5,middle,sparsemax,96,0.9437854170100763
5,high,softmax,96,1.0318267500260845
5,high,sparsemax,96,1.5842943339957856
6,low,softmax,96,1.502727082988713
6,low,sparsemax,96,1.1232822499878239
6,middle,softmax,96,1.3847674580174498
6,middle,sparsemax,96,1.202588750020368
6,high,softmax,96,0.9495185000123456
6,high,sparsemax,96,0.9715399169945158
7,low,softmax,96,0.959422749991063
7,low,sparsemax,96,0.779357290972257
7,middle,softmax,96,0.9317695000208914
7,middle,sparsemax,96,0.9197240420035087
7,high,softmax,96,1.3875914170057513
7,high,sparsemax,96,0.9743886250071228
