cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
0,0,5,0.1,0,low,4.0,5.971551255312521,0.6856924208708988,3.999999999999999,3.999999999999999,0.0,matched,True
0,0,5,0.1,0,middle,16.0,4.420442627304701,0.2550144881731313,15.999999999999993,16.000000000000014,1.3322676295501877e-15,matched,True
0,0,5,0.1,0,high,64.0,2.772985432986978,0.06447569695820476,64.0,64.0,0.0,matched,True
1,0,8,0.1,0,low,4.0,5.893221390764153,0.6447951763273101,3.999999999999999,4.0000000000000036,1.1102230246251561e-15,matched,True
1,0,8,0.1,0,middle,16.0,4.376037628378211,0.2647642187236817,16.000000000000004,15.99999999999999,8.881784197001254e-16,matched,True
1,0,8,0.1,0,high,64.0,2.766536032663832,0.068092185846827,64.00000000000001,63.99999999999986,2.4424906541753468e-15,matched,True
2,0,10,0.1,0,low,4.0,5.924546012714099,0.662273742923114,4.0,3.999999999999999,2.2204460492503136e-16,matched,True
2,0,10,0.1,0,middle,16.0,4.392759404608075,0.2606786346689012,16.000000000000007,15.99999999999999,1.1102230246251567e-15,matched,True
2,0,10,0.1,0,high,64.0,2.7684254380317794,0.06578339210675965,64.0,64.00000000000006,8.881784197001248e-16,matched,True
3,0,12,0.1,0,low,4.0,5.898784204024377,0.6680295300993331,3.9999999999999964,3.999999999999999,6.661338147750943e-16,matched,True
3,0,12,0.1,0,middle,16.0,4.374941440950423,0.26487566961397846,15.99999999999999,16.0,6.661338147750941e-16,matched,True
3,0,12,0.1,0,high,64.0,2.756519007068123,0.06513369576162842,64.00000000000001,63.99999999999996,8.881784197001254e-16,matched,True
4,0,13,0.1,0,low,4.0,6.0562526799342224,0.6765262178809731,3.9999999999999982,3.999999999999999,2.220446049250314e-16,matched,True
4,0,13,0.1,0,middle,16.0,4.493790450503394,0.26424709029169957,16.0,16.000000000000014,8.881784197001248e-16,matched,True
4,0,13,0.1,0,high,64.0,2.8364915644916255,0.06974159119662682,64.0,64.0,0.0,matched,True
5,0,14,0.1,0,low,4.0,5.845357482929709,0.6471016203569446,4.000000000000002,3.9999999999999982,8.881784197001252e-16,matched,True
5,0,14,0.1,0,middle,16.0,4.329481628238184,0.2473175619029375,16.0,16.0,0.0,matched,True
5,0,14,0.1,0,high,64.0,2.7238467758682887,0.06491432705392608,64.0,64.0,0.0,matched,True
6,0,16,0.1,0,low,4.0,5.861936772944858,0.6533787840633845,4.0,3.9999999999999964,8.881784197001256e-16,matched,True
6,0,16,0.1,0,middle,16.0,4.340678002974023,0.2484554209062353,15.999999999999993,16.000000000000025,1.998401444325281e-15,matched,True
6,0,16,0.1,0,high,64.0,2.7280849896467743,0.06450724543619546,64.0,63.99999999999987,1.9984014443252837e-15,matched,True
7,0,17,0.1,0,low,4.0,5.746274038010782,0.6409805345134885,4.000000000000001,3.9999999999999973,8.881784197001254e-16,matched,True
7,0,17,0.1,0,middle,16.0,4.268271390489504,0.25414714090614804,16.000000000000007,16.00000000000004,1.998401444325279e-15,matched,True
