memory_seed,level,softmax,sparsemax,delta_sparsemax_minus_softmax
0,high,0.27239645512680577,0.2480331370288168,-0.024363318097988973
0,low,0.08921243404466318,0.18817479641866153,0.09896236237399834
0,middle,0.18875143037546893,0.2823058438777075,0.09355441350223859
1,high,0.2611497777091563,0.2399766641730459,-0.021173113536110427
1,low,0.0900970607908751,0.18691165857296724,0.09681459778209214
1,middle,0.18901930105702378,0.2709094394635721,0.08189013840654832
2,high,0.24843688108549114,0.2144427587425164,-0.03399412234297475
2,low,0.09065728743450285,0.18963853506002185,0.09898124762551899
2,middle,0.19589401151522876,0.2669486106728875,0.07105459915765874
3,high,0.2185237037267265,0.19104870161243478,-0.027475002114291713
3,low,0.09248806019420631,0.18661414085964598,0.09412608066543966
3,middle,0.19537968300553024,0.24098236377056623,0.045602680765035986
4,high,0.2553616327641443,0.22885836030282516,-0.026503272461319144
4,low,0.09326312157753441,0.19447813578585568,0.10121501420832127
4,middle,0.2235150326818465,0.2640157429062985,0.04050071022445198
5,high,0.25645607281434124,0.23759910271684637,-0.018856970097494874
5,low,0.08977280783299062,0.191674815296243,0.10190200746325238
5,middle,0.1870323433300488,0.2676599500887119,0.0806276067586631
6,high,0.24541522622351475,0.2207421222796296,-0.02467310394388514
6,low,0.08976183422238071,0.1931958845667305,0.1034340503443498
6,middle,0.18863206618237457,0.268400672311029,0.07976860612865441
7,high,0.26213205528535316,0.24479317125302782,-0.017338884032325336
7,low,0.09028476792244661,0.18846176500233627,0.09817699707988967
7,middle,0.19493231905475814,0.27479343748552176,0.07986111843076363
