memory_seed,check,error,tolerance,passed
0,atlas_t0_whitened_identity,3.0094327644061055e-16,1e-10,True
0,atlas_AD_equals_full_projection,2.903285168185956e-16,1e-08,True
0,ritz_upper_bound,0.0,1e-10,True
0,orthogonal_complement_annihilated,3.12392807243928e-16,1e-10,True
0,analytic_transform_jacobians,4.672076604702779e-16,1e-08,True
0,gram_spectrum_finite_and_psd,2.8938477725210526e-19,1e-10,True
0,cumulative_recurrence_and_reduced_basis,1.0636237752536218e-15,1e-08,True
1,atlas_t0_whitened_identity,1.6435074526764696e-16,1e-10,True
1,atlas_AD_equals_full_projection,0.0,1e-08,True
1,ritz_upper_bound,0.0,1e-10,True
1,orthogonal_complement_annihilated,3.110274976396475e-16,1e-10,True
1,analytic_transform_jacobians,4.642656333489508e-16,1e-08,True
1,gram_spectrum_finite_and_psd,3.5365276170493673e-19,1e-10,True
1,cumulative_recurrence_and_reduced_basis,9.87946721978516e-16,1e-08,True
2,atlas_t0_whitened_identity,6.681636013515804e-16,1e-10,True
2,atlas_AD_equals_full_projection,1.8372402393809905e-16,1e-08,True
2,ritz_upper_bound,0.0,1e-10,True
2,orthogonal_complement_annihilated,3.135481051925305e-16,1e-10,True
2,analytic_transform_jacobians,4.514206991623481e-16,1e-08,True
2,gram_spectrum_finite_and_psd,2.499247314639065e-19,1e-10,True
2,cumulative_recurrence_and_reduced_basis,1.0416939475272215e-15,1e-08,True
3,atlas_t0_whitened_identity,6.6973807122470445e-16,1e-10,True
3,atlas_AD_equals_full_projection,2.582989106891224e-16,1e-08,True
3,ritz_upper_bound,0.0,1e-10,True
3,orthogonal_complement_annihilated,3.17298950890226e-16,1e-10,True
3,analytic_transform_jacobians,4.986290682892877e-16,1e-08,True
3,gram_spectrum_finite_and_psd,3.2346394927714927e-19,1e-10,True
3,cumulative_recurrence_and_reduced_basis,1.0631792196850418e-15,1e-08,True
4,atlas_t0_whitened_identity,2.5523436361293173e-16,1e-10,True
4,atlas_AD_equals_full_projection,2.250519244999523e-16,1e-08,True
4,ritz_upper_bound,0.0,1e-10,True
4,orthogonal_complement_annihilated,3.2068954330154655e-16,1e-10,True
4,analytic_transform_jacobians,4.751949765006932e-16,1e-08,True
4,gram_spectrum_finite_and_psd,2.4138630329819303e-19,1e-10,True
4,cumulative_recurrence_and_reduced_basis,1.0858598297500312e-15,1e-08,True
5,atlas_t0_whitened_identity,3.040470972244059e-16,1e-10,True
5,atlas_AD_equals_full_projection,2.0990429281151637e-16,1e-08,True
5,ritz_upper_bound,0.0,1e-10,True
5,orthogonal_complement_annihilated,3.1388385950906886e-16,1e-10,True
5,analytic_transform_jacobians,4.48395729878713e-16,1e-08,True
5,gram_spectrum_finite_and_psd,2.9747903431753343e-19,1e-10,True
5,cumulative_recurrence_and_reduced_basis,1.0351623163893067e-15,1e-08,True
6,atlas_t0_whitened_identity,5.057306561942087e-16,1e-10,True
6,atlas_AD_equals_full_projection,2.4858006009732264e-16,1e-08,True
6,ritz_upper_bound,0.0,1e-10,True
6,orthogonal_complement_annihilated,3.2082628524726796e-16,1e-10,True
6,analytic_transform_jacobians,4.744417134573643e-16,1e-08,True
6,gram_spectrum_finite_and_psd,2.5605193185313507e-19,1e-10,True
6,cumulative_recurrence_and_reduced_basis,1.033212294729882e-15,1e-08,True
7,atlas_t0_whitened_identity,4.847302891456678e-16,1e-10,True
7,atlas_AD_equals_full_projection,2.249338483346183e-16,1e-08,True
7,ritz_upper_bound,0.0,1e-10,True
7,orthogonal_complement_annihilated,3.0595846435333815e-16,1e-10,True
7,analytic_transform_jacobians,4.682969038614901e-16,1e-08,True
7,gram_spectrum_finite_and_psd,3.5143012312327756e-19,1e-10,True
7,cumulative_recurrence_and_reduced_basis,9.860740734561017e-16,1e-08,True
